alive,height_cm,diameter_mm,case_control,case,canopy_width,canopy_length,canopy_area,bird_species,ant_species
A,74,24.05,0,26,0.85,0.79,0.53,STAR,RRB
A,168.5,49.21,0,26,2.17,2.38,4.06,STAR,RRB
A,200.5,79.15,0,26,1.58,1.53,1.9,STAR,RRB
A,228,89.59,1,27,2.95,3.47,8.09,STAR,RRB
A,210,58.24,0,27,1.71,1.22,1.68,STAR,RRB
A,134,41.73,0,27,1.83,1.74,2.5,STAR,RRB
A,99,21.89,0,27,0.72,0.68,0.38,STAR,RRB
A,264.5,80.84,0,27,2.6,3.22,6.65,STAR,RRB
A,212.5,92.18,1,28,1.48,2.4,2.95,STAR,RRB
A,132.5,47,0,28,1.98,1.55,2.45,STAR,AB
A,237.5,57.77,0,28,1.66,1.66,2.16,STAR,RRB
A,131,58.22,0,28,1.69,1.18,1.62,STAR,RRB
A,133.5,52.82,0,28,2.83,2.21,4.99,STAR,RRB
A,204.5,67.28,1,29,1.97,1.93,2.98,STAR,RRB
A,115.5,27.02,0,29,0.8,0.49,0.33,STAR,RRB
A,171,49.02,0,29,2.03,1.91,3.05,STAR,RRB
A,152,52.97,0,29,1.08,1.64,1.45,STAR,RRB
A,133.5,46.33,0,29,1.05,1.55,1.33,STAR,RRB
A,194,58.05,1,30,1.57,1.39,1.72,GHS,RRB
D,181,71.85,0,30,2.3,1.46,2.77,GHS,NONE
A,182,84.82,0,30,2.67,1.74,3.82,GHS,RRB
A,132,39.05,0,30,2.16,2.34,3.97,GHS,BBR
A,238.5,60.55,0,30,1.35,1.47,1.56,GHS,RRB
A,191,63.26,1,31,2.88,2.95,6.67,GHS,RRB
A,199,68.42,0,31,2.28,2.57,4.62,GHS,RRB
D,266,58.9,0,31,2.17,2.81,4.87,GHS,RRB
A,234.5,76.59,0,31,2.16,2.2,3.73,GHS,RRB
A,147,52.38,0,31,1.12,0.97,0.86,GHS,RRB
A,283,133.73,1,32,2.06,2.36,3.83,STAR,AB
A,243.5,81.03,0,32,2.63,2.49,5.14,STAR,RRB
A,164,25.56,0,32,1.38,1,1.11,STAR,RRB
A,155,59.21,0,32,1.32,1.6,1.67,STAR,BBR
A,225,84.25,0,32,3.73,2.89,8.6,STAR,RRB
A,198,57.39,1,33,1.66,1.57,2.05,STAR,BBR
A,163,38.43,0,33,2.08,1.63,2.7,STAR,BBR
A,85,43.93,0,33,1.45,1.61,1.84,STAR,AB
A,204,69.39,0,33,2.22,2.82,4.99,STAR,RRB
A,164.5,58.11,0,33,1.37,1.44,1.55,STAR,BBR
A,214,56.54,1,34,1.55,1.5,1.83,STAR,BBR
A,71,26.25,0,34,0.76,0.63,0.38,STAR,BBR
A,141,34.06,0,34,1.04,1.66,1.43,STAR,BBR
A,140,43.19,0,34,1.28,1.32,1.33,STAR,BBR
A,127,32.8,0,34,1.29,0.88,0.92,STAR,BBR
A,254,82.71,1,35,2.97,2.08,5,STAR,RRB
A,139,38.74,0,35,2.05,1.86,3,STAR,TP
A,104.5,49.5,0,35,1.34,1.02,1.09,STAR,TP
A,111.5,23.08,0,35,0.94,0.86,0.64,STAR,TP
D,119,47.8,0,35,1.06,1.1,0.92,STAR,NONE
A,237,69.5,1,36,1.8,1.63,2.31,STAR,BBR
A,150,48.23,0,36,1.2,1.5,1.43,STAR,BBR
A,149.5,45.73,0,36,1.63,1.96,2.53,STAR,RRB
A,174.5,46.62,0,36,1.88,2.06,3.05,STAR,BBR
A,152.5,46.35,1,37,2.53,2.15,4.3,STAR,RRB
A,155.5,58.44,0,37,1.64,1.4,1.81,STAR,RRB
A,142,39.11,0,37,1.84,1.35,2,STAR,RRB
A,135,31.21,0,37,1.35,0.71,0.83,STAR,TP
A,216,88.71,0,37,2.54,1.47,3.16,STAR,RRB
A,249.5,91.44,1,38,1.38,1.5,1.63,STAR,RRB
A,187,50.62,0,38,1.74,1.68,2.3,STAR,RRB
A,118,45.87,0,38,0.8,1.47,1.01,STAR,RRB
A,199,53.68,0,38,1.64,2.03,2.64,STAR,RRB
A,130,30.04,0,38,1.03,1.24,1.01,STAR,RRB
A,247,66.38,1,39,1.36,2.19,2.47,STAR,RRB
A,215,47.87,0,39,1.34,1.69,1.8,STAR,RRB
A,163,64.56,0,39,1.87,1.31,1.98,STAR,RRB
A,207,63.35,0,39,1.65,1.25,1.65,STAR,RRB
D,180,63.62,0,39,1.8,1.29,1.87,STAR,NONE
A,195,47.19,1,40,1.34,1.25,1.32,GHS,RRB
A,135.5,52.45,0,40,1.96,1.88,2.89,GHS,RRB
A,194,42.6,0,40,1.11,1.48,1.32,GHS,RRB
A,103.5,40.93,0,40,1.25,1.37,1.35,GHS,RRB
A,152,58.75,0,40,1.67,1.03,1.43,GHS,RRB
A,201.2,69.17,1,41,2.42,2,3.83,STAR,RRB
A,166.5,50.9,0,41,1.78,1.29,1.85,STAR,RRB
